DEV_KEY,en,EN-UK,DE,PL,PT(BR),ES(MX),ES-ES,ID,SE,RU,FR,IT
app_storm_formation_alert,Alert! A new storm formation is detected nearby!,Alert! A new storm formation is detected nearby!,"Aufgepasst! Es wurde erkannt, dass sich in Ihrer Nähe ein neuer Sturm bildet!",Alarm! W pobliżu wykryto nową formację burzy!,Alerta! Uma nova tempestade em formação foi detectada nas proximidades!,¡Alerta! ¡Se detectó una nueva formación de tormenta en las cercanías!,¡Alerta! ¡Se detecta una nueva formación de tormenta cerca!,Waspada! Formasi badai baru terdeteksi di dekat Anda!,Varning! En ny stormbildning har upptäckts i närheten!,Внимание! Рядом обнаружено новое штормовое явление!,Alerte ! Une dépression tropicale intense a été détectée à proximité ! Soyez prudent !,
,,,,,,,,,,,Alerte ! Une nouvelle formation de tempête a été détectée à proximité !,
nowcast_active_hurricane_status,Hurricane warning,Hurricane warning,Orkanwarnung,Ostrzeżenie przed huraganem,Alerta de furacão,Aviso de huracán,Advertencia de huracán,Peringatan topan,Orkanvarning,Предупреждение об урагане,Alerte d'ouragan,
nowcast_active_hurricane_status_upper,Hurricane,Hurricane,Orkanwarnung,Ostrzeżenie przed,Alerta de,Aviso de,Advertencia de,Topan,Orkan,Ураган,Ouragan,
nowcast_active_hurricane_status_lower,warning,warning,,huraganem,furacão,huracán,huracán,peringatan,varning,предупреждение,alerte,
nowcast_active_depression_status_upper,Tropical depression,Tropical depression,Tropensturm-,Ostrzeżenie przed,Alerta de,Aviso de,Aviso de,Depresi tropis,Tropiskt lågtryck,Тропическая депрессия,Dépression tropicale,
nowcast_active_depression_status_lower,warning,warning,Warnung,depresji tropikalnej,depressão tropical,depresja tropikalna,depresión tropical,peringatan,varning,предупреждение,alerte,
nowcast_active_invest_status_upper,Storm formation,Storm formation,Tropensturm-,Ostrzeżenie przed,Alerta de,Aviso de,Aviso de,Formasi badai,Stormbildning,Штормовое явление?,Formation de tempête,
nowcast_active_invest_status_lower,warning,warning,Warnung,tworzeniu się burzy,Formação de tempestade,tormentas,formación de tormenta,peringatan,varning,предупреждение,alerte,
subscription_screen_title,Get access to Hurricane tracker now!,Get access to Hurricane tracker now!,Holen Sie sich jetzt Zugang zum Orkan-Tracker!,Uzyskaj dostęp do monitoringu huraganu już teraz!,Obtenha acesso ao rastreador de furacões agora!,¡Acceda al rastreador de huracanes ahora!,¡Obtenga acceso al rastreador de huracanes ahora!,,,,,
subscription_screen_description_title_trial,Try Rainbow.ai for free,Try Rainbow.ai for free,Testen Sie Rainbow.ai kostenlos,Wypróbuj Rainbow.ai za darmo,Experimente o Rainbow.ai grátis,Pruebe gratis Rainbow.ai,Prueba Rainbow.ai gratis,,,,,
subscription_screen_description_title,Join Rainbow.ai Premium,Join Rainbow.ai Premium,Werden Sie Mitglied von Rainbow.ai-Premium,Dołącz do Rainbow.ai Premium,Obtenha o Rainbow.ai Premium,Únase a Rainbow.ai Premium,Únete a Rainbow.ai Premium,,,,,
subscription_screen_description_trial,"Start your free %@ day trial now, then $%@ per month. Cancel anytime.","Start your free %@ day trial now, then $%@ per month. Cancel anytime.","Starten Sie jetzt Ihre kostenlose %@-Tage-Testversion, danach %@ $ pro Monat. Jederzeit kündbar.","Rozpocznij bezpłatny %@-dniowy okres próbny już teraz, a następnie za $%@ miesięcznie. Anuluj w dowolnym momencie.","Comece sua avaliação grátis de %@ dias agora e, depois, pague $%@ por mês. Cancele a qualquer momento.","Comience ahora su prueba gratuita de %@ días, luego $%@ por mes. Cancele en cualquier momento.","Comience su prueba gratuita de %@ días ahora, luego $%@ por mes. Cancele en cualquier momento.",,,,,
subscription_screen_description,Join Rainbow.ai Premium for only $%@/month. Cancel anytime.,Join Rainbow.ai Premium for only $%@/month. Cancel anytime.,Werden Sie Mitglied von Rainbow.ai-Premium für nur %@ $/Monat. Jederzeit kündbar.,Dołącz do  Rainbow.ai Premium za jedyne $%@/ miesięcznie. Anuluj w dowolnym momencie.,Obtenha o Rainbow.ai Premium por apenas $%@/mês. Cancele a qualquer momento.,Únase a Rainbow.ai Premium por solo %@/mes. Cancele en cualquier momento.,Únase a Rainbow.ai Premium por solo $%@/mes. Cancele en cualquier momento.,,,,,
subscription_screen_description_trial_start_you,Start your ,Start your ,Starten Sie jetzt Ihre kostenlose ,Rozpocznij ,Comece sua avaliação ,Comience ahora su ,Comience su ,,,,,
subscription_screen_description_trial_duration,"free %@ day trial now, ","free %@ day trial now, ","%@-Tage-Testversion, ","bezpłatny %@-dniowy okres próbny już teraz, ","grátis de %@ dias agora e, ","prueba gratuita de %@ días, ","prueba gratuita de %@ días ahora, ",,,,,
subscription_screen_description_trial_then,then ,then ,danach ,a następnie za ,"depois, ",luego ,luego ,,,,,
subscription_screen_description_trial_payment,%@ per month. ,%@ per month. ,%@ pro Monat. ,%@ miesięcznie. ,pague $%@ por mês. ,%@ por mes. ,%@ por mes. ,,,,,
subscription_screen_description_paid_1st_part,Join Rainbow.ai Premium for only ,Join Rainbow.ai Premium for only ,Werden Sie Mitglied von Rainbow.ai-Premium für nur ,Dołącz do  Rainbow.ai Premium za jedyne ,Obtenha o Rainbow.ai Premium por apenas ,Únase a Rainbow.ai Premium por solo ,Únase a Rainbow.ai Premium por solo ,,,,,
subscription_screen_description_paid_price,%@/month. ,%@/month. ,%@ /Monat. ,%@/ miesięcznie. ,%@/mês. ,%@/mes. ,%@/mes. ,,,,,
subscription_screen_cancel_anytime,Cancel anytime.,Cancel anytime.,Jederzeit kündbar.,Anuluj w dowolnym momencie.,Cancele a qualquer momento.,Cancele en cualquier momento.,Cancele en cualquier momento.,,,,,
subscription_screen_primary_button_trial,Continue,Continue,Weiter,Kontynuuj,Continuar,Seguir,Continuar,,,,,
subscription_screen_primary_button,Join,Join,Mitglied werden,Dołącz,Obter,Únase,Unirse,,,,,
subscription_screen_secondary_button,Subscribe,Subscribe,Abonnieren,Subskrybuj,Inscrever-se,Suscribirse,Suscribir,,,,,
subscription_annually,%@/annually,%@/annually,%@/Jahr,%@ rocznie,%@/anualmente,%@/anual,%@/anualmente,,,,,
subscription_restore,Restore purchases,Restore purchases,Käufe wiederherstellen,Przywróć zakupy,Restaurar compras,Restaurar compras,Restaurar las compras,Pulihkan pembelian,Återställ köp,Восстановить покупки,Restaurer les achats,
alert_hurricane_title,Hurricane alert!,Hurricane alert!,Hurrikan-Alarm!,Alarm huraganowy!,Alerta de furacões!,¡Alerta de huracán!,¡Alerta de huracán!,Waspada topan!,Orkanvarning!,"Внимание, ураган!/Осторожно, ураган!",Alerte ouragan !,
alert_hurricane_body,Alert! An active hurricane is detected nearby! Stay safe!,Alert! An active hurricane is detected nearby! Stay safe!,Aufgepasst! In Ihrer Nähe wurde ein aktiver Orkan entdeckt! Passen Sie auf sich auf!,Alarm! W pobliżu wykryto aktywny huragan! Zachowaj bezpieczeństwo!,Alerta! Um furacão ativo foi detectado nas proximidades! Procure um lugar seguro!,¡Alerta! ¡Se detectó un huracán activo en las cercanías! ¡Manténgase a salvo!,¡Alerta! ¡Se detecta un huracán activo cerca! ¡Manténgase a salvo!,Waspada! Topan aktif terdeteksi di dekat Anda! Berhati-hatilah!,Varning! En aktiv orkan har upptäckts i närheten! Håll er säkra!,Внимание! Рядом обнаружен активный ураган! Будьте осторожны!,Alerte ! Une tempête intense a été détectée à proximité ! Soyez prudent !,
alert_storm_title,Storm alert!,Storm alert!,Sturmwarnung!,Alarm burzowy!,Alerta de tempestade!,¡Alerta de tormenta!,¡Alerta de tormenta!,Waspada badai!,Stormvarning!,"Внимание, шторм!/Осторожно, шторм!",Alerte tempête !,
alert_storm_body,Alert! An active storm is detected nearby! Stay safe!,Alert! An active storm is detected nearby! Stay safe!,Aufgepasst! In Ihrer Nähe wurde ein aktiver Sturm entdeckt! Geben Sie auf sich acht!,Alarm! W pobliżu wykryto aktywną burzę! Zachowaj bezpieczeństwo!,Alerta! Uma tempestade ativa foi detectada nas proximidades! Procure um lugar seguro!,¡Alerta! ¡Se detectó una tormenta activa en las cercanías! ¡Manténgase a salvo!,¡Alerta! ¡Se detecta una tormenta activa cerca! ¡Manténgase a salvo!,Waspada! Badai aktif terdeteksi di dekat Anda! Berhati-hatilah!,Varning! En aktiv storm har upptäckts i närheten! Håll er säkra!,Внимание! Рядом обнаружен активный шторм! Будьте осторожны!,Alerte ! Une dépression tropicale intense a été détectée à proximité ! Soyez prudent !,
alert_tropical_depression_title,Tropical depression alert!,Tropical depression alert!,Sturmwarnung!,Alarm o depresji tropikalnej!,Alerta de depressão tropical!,¡Alerta de depresión tropical!,¡Alerta de depresión tropical!,Waspada depresi tropis!,Varning för tropiskt lågtryck!,"Внимание, тропическая депрессия!/Осторожно, тропическая депрессия!",Alerte dépression tropicale !,
alert_tropical_depression_body,Alert! An active tropical depression is detected nearby! Stay safe!,Alert! An active tropical depression is detected nearby! Stay safe!,Aufgepasst! Ein aktives tropisches Tiefdruckgebiet wurde in der Nähe entdeckt! Geben Sie auf sich acht!,Alarm! W pobliżu wykryto aktywną depresję tropikalną! Zachowaj bezpieczeństwo!,Alerta! Uma depressão tropical ativa foi detectada nas proximidades! Procure um lugar seguro!,¡Alerta! ¡Se detectó una depresión tropical activa en las cercanías! ¡Manténgase a salvo!,¡Alerta! ¡Se detecta una depresión tropical activa cerca! ¡Manténgase a salvo!,Waspada! Depresi tropis aktif terdeteksi di dekat Anda! Berhati-hatilah!,Varning! Ett aktivt tropiskt lågtryck har upptäckts i närheten! Håll er säkra!,Внимание! Рядом обнаружена активная тропическая депрессия! Будьте осторожны!,Alerte ! Une dépression tropicale intense a été détectée à proximité ! Soyez prudent !,
notification_rain_starts_title,Rainbow.ai ,Rainbow.ai ,Rainbow.ai ,Rainbow.ai ,Rainbow.ai ,Rainbow.ai ,Rainbow.ai ,Rainbow.ai,Rainbow.ai,Rainbow.ai ,Rainbow.ai ,
notification_rain_starts_minutes,🌧 Rain starts in %@ minutes.,🌧 Rain starts in %@ minutes.,🌧 Regen beginnt in %@ Min.,🌧 Deszcz zacznie padać za %@ minut(y).,🌧 A chuva começa em %@ minutos.,🌧 La lluvia iniciará en %@ minutos.,🌧 Comienza a llover en %@ minutos.,🌧 Hujan dimulai dalam %@ menit.,🌧 Det börjar regna om %@ minuter.,🌧 Дождь начнется через %@ минуты/минут.,🌧 La pluie commence dans %@ minutes.,
notification_rains_starts_minute,🌧 Rain starts in 1 minute.,🌧 Rain starts in %@ minute.,🌧 Regen beginnt in %@ Min.,🌧 Deszcz zacznie padać za 1 minutę.,🌧 A chuva começa em %@ minuto.,🌧 La lluvia iniciará en %@ minuto.,🌧 Comienza a llover en %@ minuto.,🌧 Hujan dimulai dalam 1 menit.,🌧 Det börjar regna om 1 minut.,Дождь начнется через минуту,🌧 La pluie commence dans 1 minute.,
notification_rain_ends_title,Rainbow.ai ,Rainbow.ai ,Rainbow.ai ,Rainbow.ai ,Rainbow.ai ,Rainbow.ai ,Rainbow.ai ,Rainbow.ai,Rainbow.ai,Rainbow.ai ,Rainbow.ai,
notification_rain_ends_minutes,🌈 Rain ends in %@ minutes.,🌈 Rain ends in %@ minutes.,🌈 Regen endet in %@ Min.,🌈 Deszcz przestanie padać za %@ minut(y).,🌈 A chuva termina em %@ minutos.,🌈 La lluvia terminará en %@ minutos.,🌈 Termina de llover en %@ minutos.,🌈 Hujan berakhir dalam %@ menit.,🌈 Det slutar regna om %@ minuter.,🌈 Дождь закончится через %@ минуты/минут.,🌈 La pluie cessera dans %@ minutes.,
notification_rain_ends_minute,🌈 Rain ends in 1 minute.,🌈 Rain ends in %@ minute.,🌈 Regen endet in %@ Min.,🌈 Deszcz przestanie padać za 1 minutę.,🌈 A chuva termina em %@ minuto.,🌈 La lluvia terminará en %@ minuto.,🌈 Termina de llover en %@ minuto.,🌈 Hujan berakhir dalam 1 menit.,🌈 Det slutar regna om 1 minut.,Дождь закончится через минуту,🌈 La pluie cessera dans 1 minute.,
notification_tap_to_learn_more,Tap to learn more.,Tap to learn more.,"Tippen Sie, um weitere Informationen zu erhalten.","Naciśnij, aby dowiedzieć się więcej.",Toque para saber mais.,Pulsa para obtener más información.,Pulsa para obtener más información.,Ketuk untuk membaca lebih jauh.,Tryck för att se mer.,"Коснитесь, чтобы узнать больше",Appuyez pour en savoir plus.,
onboarding_continue,Continue,Continue,Fortfahren,Kontynuuj,Continuar,Continuar,Continuar,Lanjut,Fortsätt,Продолжить,Continuer,
onboarding_notification_screen_title,Get timely rain notifications,Get timely rain notifications,Erhalten Sie rechtzeitige Regenmeldungen,Otrzymuj aktualne powiadomienia o deszczu,Receba notificações de chuva em tempo hábil,Obtener notificaciones de lluvia oportunas,Recibe notificaciones de lluvia de forma puntual,Dapatkan notifikasi hujan tepat waktu,Få meddelanden om regn i god tid,Получайте своевременные оповещения о дожде,Recevez des notifications de pluie en temps opportun,
onboarding_notification_screen_upper_push_title,No rain for the next 15 mins,No rain for the next 15 minutes,Kein Regen für die nächsten 15 Min,Brak deszczu przez najbliższe 15 minut,Sem chuva nos próximos 15 min,Sin lluvia por los próximos 15 min,Sin lluvia para próximos 15 min,Tak ada hujan untuk 15 mnt ke depan,Inget regn de närmaste 15 minuterna,Дождя не будет ближайшие 15 минут,Pas de pluie pendant les 15 prochaines minutes,
onboarding_notification_screen_upper_push_body,Don't forget an umbrella,Don't forget an umbrella,Vergessen Sie den Regenschirm nicht,Nie zapomnij parasola,Não se esqueça do guarda-chuva,No te olvides del paraguas.,No olvides el paraguas.,Jangan lupa membawa payung,Glöm inte paraplyet,Не забудьте зонтик,N'oubliez pas votre parapluie,
onboarding_notification_screen_bottom_push_title,Rain ends in 45 mins,Rain ends in 45 minutes.,Regen endet in 45 Min.,Kończy padać za 45 minut.,A chuva termina em 45 minutos.,La lluvia terminará en 45 minutos.,Termina de llover en 45 minutos.,Hujan berakhir dalam 45 mnt,Det slutar regna om 45 minuter,Дождь закончится через 45 минут,Fin de la pluie dans 45 minutes,
onboarding_notification_screen_bottom_push_body,Hooray!,Hooray!,Hurra!,Hurra!,Viva!,¡Hurra!,¡Hurra!,Hore!,Hurra!,Ура!,Hourra !,
onboarding_notification_screen_body,Enable notification permissions to get timely rain alerts.,Enable notification permissions to get timely rain alerts.,"Lassen Sie Benachrichtigungen zu, um rechtzeitig Regenwarnungen zu erhalten.","Włącz powiadomienia, aby otrzymywać aktualne alerty o deszczu.",Habilitar permissões de notificação para receber alertas de chuva em tempo hábil.,Activar los permisos de notificación para recibir alertas de lluvia a tiempo.,Habilita los permisos de notificación para recibir alertas de lluvia de forma puntual.,Aktifkan izin notifikasi untuk menerima sinyal hujan tepat waktu.,Aktivera aviseringsbehörigheter för att få regnvarningar i god tid.,"Включите уведомления, чтобы получать своевременные оповещения о дожде.",Activez les autorisations de notification pour recevoir des alertes de pluie en temps opportun.,
